Gamma,TOC
0.000000,34.136302
0.100000,22.534104
0.200000,37.838926
0.500000,32.174346
0.700000,98.741064
1.000000,88.768763
1.200000,153.430801
1.500000,543.048916
1.800000,634.981898
2.000000,1997.269660
2.500000,2295.435496
3.000000,1636.742230
3.500000,1956.728674
4.000000,2781.627445
5.000000,2548.426220
0.000000,29.175902
0.100000,27.599187
0.200000,27.298296
0.500000,55.187445
0.700000,40.881696
1.000000,147.685769
1.200000,223.140790
1.500000,769.144683
1.800000,1113.577155
2.000000,2296.992623
2.500000,2191.960886
3.000000,2521.297928
3.500000,2796.717349
4.000000,2798.621553
5.000000,2846.000325
0.000000,20.450791
0.100000,29.286972
0.200000,37.247117
0.500000,68.666825
0.700000,44.299751
1.000000,91.299063
1.200000,193.945602
1.500000,1230.681137
1.800000,1903.805818
2.000000,1856.162561
2.500000,1900.766846
3.000000,2708.947192
3.500000,2709.782497
4.000000,2446.757809
5.000000,1729.271281
0.000000,23.434760
0.100000,29.766010
0.200000,44.863151
0.500000,113.451771
0.700000,125.439117
1.000000,100.566870
1.200000,219.832279
1.500000,1377.147936
1.800000,1517.176827
2.000000,1693.564973
2.500000,1685.139247
3.000000,2524.673693
3.500000,2599.310258
4.000000,2752.924542
5.000000,2680.454470
0.000000,31.563711
0.100000,22.550200
0.200000,31.876347
0.500000,62.995704
0.700000,44.587807
1.000000,160.525152
1.200000,309.795412
1.500000,1032.719964
1.800000,1158.659515
2.000000,1927.281654
2.500000,2607.865459
3.000000,1951.863907
3.500000,2798.306807
4.000000,2538.416542
5.000000,2796.310355
